,label_st1,group
0,-1,"cashier,interior,red velvet cake,sever,attitudes,scallop,cocktails,chocolate milk,scallop dish,relationship,pan cakes,mussels,potato dishes,chicken wrap,tuna melt,cream cheese,priced,bread and butter,Lobster Bisque,experience,working,English muffin,BBQ,fare,pricing,bread,salmon,side dish options,bird,chicken meat,white truffle,daily specials,waitress,expensive,tiramisu,desserts,martini,potato,donut,grilled chicken,roasted chicken,Macarons,family meal,baklava,Baba Ganoush,eggplant,sweet potato tots,onion rings,plantains,Pineapple Delight,grilled pizza,bite,Chicken,sandwich,chicken dishes,sashimi,experience,Maine Lobster Roll,plastic containers,takeout boxes,oysters,Hot dishes,dealing,plate,bites,experience,butter,fondue,experience"
1,0,"food,food,food,food,Food,food,food,food,food,food,food,food,food,food,food,food,food,food,food,Food,Food,food,food,food,food,food,food,Food,food,food,food,food,Food,food,food,food,food,food,food,food,food,food,food,food,food"
2,1,"order,deliver,order"
3,2,"Service,service,Service,service,Service,service,service,service,Customer Service,service,Service,service,service,service,service,service,serivce,Service,service,service,service,service,service,service,service,service,Service,service,Service,service,service,Service,service,service,service,Service,Service,service,Service,service,service,operation,Service,service,service,service,Service,service,service,service,service,Google,service,Service,service,service,Service,service,service,service,service,service,service,service,service,service,service,service,service,service,service,services,service,service,customer service,service,service,service,service,service,service,service,service,service,service,service,serving,service,service,services"
4,3,"place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,spot,spot,place,place,place,place,place,place,place,place,place,location,place,place,place,place,place,place,place,place,place,venue,place,spot,place,place,place,place,location,place,place,place,location,area,place,place,place,place,place,place,place,place,place,spot,place,place,places,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place,place"
5,4,"tables,table,table,tables,table,table,table,tables,table,table,table,tables,table"
6,5,"Owner,owners,OWNERS,owners,owner,owners,owner,owner"
7,6,"server,server,Server,server,server,server,server,server,server,server,server"
8,7,"atmosphere,atmosphere,atmosphere,atmosphere,atmosphere,ventilation,atmosphere,atmosphere,atmosphere,atmosphere,atmosphere"
9,8,"servers,servers,mains,servers,servers"
10,9,"server,servers,server"
11,10,"portions,portion,portions,portion,portions,portions,portions"
12,11,"staff,Host staff,staff,staff,staff,staff,staff,staff,staff,staff,staff,staff,staff,staff,staff,serving staff,staff,staff,staff"
13,12,"food,food,food,food,food,food,food,food,food,food,food,food,food,food,food,food,Food,food,money,food,Food,food,food,food,food,food,food,Food,food,money,food,food,food,fat,food,food,food,food,food,food,food,Food,theft,money,food,food,food,food,food,food,food,food,food,food,food,food,food,food,food,food,money,food,food,food,Food,foods,food,food,money,food,food,food,food,food,Food,food,money"
14,13,"performed,served,served,served,rated"
15,14,"cook,chef,chefs,violinists,chef,chef,chef"
16,15,"menu,menu,menu suggestions,menu,menu,menus,menu,menu,menu,menu,drink menu,menu,menu,list,menu,menu,menu"
17,16,"value,price,price,price,priced,value,price,price,price,price"
18,17,"quality,food quality,quality,quality of food,quality,Food quality,reviews"
19,18,"selection,food selection,selection,selection,options,selection"
20,19,"worker,employee,employees,workers"
21,20,"discount,BARGAIN,deal,offers"
22,21,"waiter,waiter,waiter,waiter,dispenser,Waiter,delivery man,waiter,waiter"
23,22,"bill,bill,bill"
24,23,"texture,hair,ambience,music,sound,ambiance,live music,lighting,ambiance,texture,ambiance,ambiance,ambiance,setting,color,Ambience,ambience,setting,ambiance,setting,ambiance,color,texture"
25,24,"sauce,ingredients,mixed mushrooms,yum sauce,eel sauce,sauces,peanut sauce,sauce,Sauce,sauce,pine nut sauce,cashew cream sauce"
26,25,"flavored,flavor,flavor,flavor,flavor,flavor,FLAVOR,flavor,flavor,flavor,flavors,spice,flavor,flavor,flavor"
27,26,"stuff,it,Everything,stuff,Everything,Everything,everything"
28,27,"people,folks,people,Everyone,Everyone,crowd,crowd,crowds"
29,28,"lunch buffet,breakfast buffet,Buffet,buffets,buffet,buffet,buffet,buffet,Buffet,buffet,buffet"
30,29,"burger,burger,burgers,burger,double cheeseburger,single patty,burger,burger,burger,Gordon,burger,burgers,burger,burger,cheeseburger,wontons,burgers,burgers,burger,hamburger"
31,30,"Prices,Pricing"
32,31,"prices,prices,prices,prices,prices,prices,prices,Prices,prices"
33,32,"Waitress,waitress,waitresses,waitress,Waitress,accountant,Waitress,waitress,hostess,cashier,waitress"
34,33,"bartender,bartender,flair bartenders"
35,34,"mood,vibe,vibe,vibe"
36,35,"bathrooms,shower area,shower,bathrooms,bathroom,bathroom"
37,36,"steak,cut,steaks,Steak,steak,steaks,steak,steak,steaks,cow,steak,steak,Strip Steak,Elk,steak"
38,37,"look,bug,check,check"
39,38,"time,pace,time,TIME,hours,time,time,time,time,pace,time,time"
40,39,"management,business,corporation,MANAGEMENT,manager,manager,management,management,company,new management,management,manager,teamwork,manager"
41,40,"bars,bars,bar,bar food,bar area,Bar,bar,bar"
42,41,"beef,roast beef,bucks,joint,beef"
43,42,"tip,gratuity,tip,tip,tap"
44,43,"pork belly,pork,pork"
45,44,"prime rib,meat,meat,meats,veal,meat,meat,meat,meatballs,meat,meat,Vegetarian fare"
46,45,"wings,hot dog,wings,Buldogis Gourmet Hot Dog,chicken wings,wings,hot dog,heat"
47,46,"hummus,pepper,spicy mayo,spicy,spicy,hummus,mayo,spicy,Hot,Sour"
48,47,"APPETIZERS,appetizers,appetizer,entrees,entrees"
49,48,"touch,drive,drive,drive,feel"
50,49,"taste,taste,Tasted,taste"
51,50,"lunch,lunch,meal,lunch,lunch,lunch,lunch,smoke break,lunch"
52,51,"waited,waiting,wait times,trying,waiting,waiting,waiting"
53,52,"wait,wait,wait"
54,53,"dining,dining,kitchen,dining,dining space,dining,dining,dining room,dining"
55,54,"restaurant,establishment,register,restaurant,Subway,restaurant,bakery,restaurant,restaurant,app,restaurant,restaurant,ESTABLISHMENT,restaurant,restaurant,Chinese restaurant,restaurant,club,restaurants"
56,55,"fries,fries,sweet potato fries,fries,fries,fry,fries,fries,fries,fries"
57,56,"return,treated,treated,treated,fried"
58,57,"pho,chow mein,Pho,Khao Soi,bowl of Pho,pho,Pho,chicken Pho"
59,58,"family atmosphere,family dinner"
60,59,"dinners,dinner,dinner,night,dinner,dinner,dinner"
61,60,"dressing,accommodations,decor,decor,decor,reservation"
62,61,"building,constructed,building"
63,62,"breakfast,breakfast,breakfast,brunch,breakfast,breakfast,breakfast,brunch,breakfast,bruschetta,breakfast"
64,63,"outside,patio,outdoor patio,inside,patio seating,outside"
65,64,"seated,seated,Seat covers,seated,seating area,seating"
66,65,"Crust,garlic,dirt,pizza,pizza,Pizza,pizzas,Pizza,pizza,crust,pizza,pizza,pizza,pizzas,pizzas,pizza,pizza,pizza,pizza selections,garlic,pizza"
67,66,"experience,experience,experience"
68,67,"EXPERIENCE,Experience,experience,experience"
69,68,"stomach,mouths,Appetite"
70,69,"meal,eating,meal,eating,meals,meal,meal,meal,meal,meal,meals,meals,meal,meal"
71,70,"Burrittos,Mexican street tacos,Lox,Filet,goat taco,Chipotle,tacos,toro tartare,Mexican food,tacos,fish and chips,tapas,arepas,nachos,chips and salsa,salsa,salsa,sals,guacamole,postinos,tacos,Del Taco,nachos"
72,71,"dish,dishes,dish,dish,dishes,dish,dish,dish,dishes"
73,72,"tapas dishes,dishes"
74,73,"ball,bowl,block"
75,74,"duck,duck,duck"
76,75,"godfathers,gristle,grease,movies"
77,76,"salad,Greek salad,Greek dressing,salad,salad,spinach and avocado salad,salad,salad,Greek dressing,Veggitarian platter,mac salad,Salads,salad,salad,black olives,slaw,seafood salad,salmon salad,plethora of salads,Mediterranean Chicken Salad,salad"
78,77,"styrofoam,gyros,gyro,Gyros"
79,78,"vinaigrette,vinegrette,vinegrette"
80,79,"signs,sides,sides,sign,sides,wedges"
81,80,"char,Grill,char"
82,81,"Bacon,bacon,bacon,jalapeno bacon"
83,82,"sushi,sushi"
84,83,"sushi,sushi,nigiri,sushi,sushi,sushi,sushi,sushi bar,sushi,sushi,sushi,Sushi"
85,84,"shrimp,boiled shrimp,crawfish,shrimp,coconut shrimp,Shrimp"
86,85,"spring rolls,Omelets,egg rolls,rolls,eggs"
87,86,"pita,Noca,pita,Pita,boba"
88,87,"coffee,boba tea,iced tea,Coffee,smoothies,apple juice,strawberry tea,tea"
89,88,"chicken,chicken,chicken"
90,89,"chicken,chicken,chickens"
91,90,"turkey,Thai restaurant,Indian cuisine,red curry,curry,shawarrrrrrma,Thai,Thai food,Thai food,Hawaiian,Thai"
92,91,"Hiro,saganaki,wagyu,Dylan,Han"
93,92,"potato chips,potato chip,chips,chips,chips,chips"
94,93,"rice,Rice,rice,fried rice"
95,94,"banana,pears,Mango,fruit"
96,95,"water,salt,tap water,water"
97,96,"pasta,pasta,Risotto,noodles,spaghetti,pasta,pastas,pasta"
98,97,"Lobster Bisque soup,soup,Egg Flower Soups,Albondigas soup,tomato soup"
99,98,"cranberry,crepe station,crêpe"
100,99,"cheese,cheesecurds,croutons,cheese crisp,mozzarella sticks"
101,100,"wine reduction,wine,Bloody Mary,wine list,wines,glass wine"
102,101,"salmon sashimi,salmon tartar,tuna sashimi"
103,102,"Jamaican mojitos,margaritas,frozen margaritas,sangria"
104,103,"bagels,falafels,bagels"
105,104,"batter,batter,bloddy,boy,pancakes,biscuits,pancake,sucker,sugar,dough,biscuit,biscuits"
106,105,"sandwich,pork sandwich,slices,sandwich,roast beef sandwich,sandwiches,sandwich,sub"
107,106,"Toast,Indian naan bread,toasted bread"
108,107,"drinks,drink,beer,drinks,Drinks,drink,drinks"
109,108,"beer,vodka,beer selection,beer,beer selection,beer,beer,beer,rotating beers"
110,109,"Crostini,cannoli,Panna Cotta,calamari"
111,110,"dessert section,dessert,delights,dessert,desserts,Dessert,desserts,dessert"
112,111,"milkshake,ice cream,vanilla ice cream"
113,112,"potatoes,beans,potatoes,beans,beans"
114,113,"bamboo shoots,vegetables,baby greens,vegetables,vegetables,vegetables"
115,114,"seafood,seafood,Halibut,Seafood,seafood plate"
116,115,"fish,fish,fish,yellowtail carpaccio,fish market"
